: زمان افعال
سالم سالم‌تر گرم گرم‌تر
سالم سالم‌تر سرد سردتر
سالم سالم‌تر دانا داناتر
سالم سالم‌تر توانا تواناتر
سالم سالم‌تر پسندیده پسندیده‌تر
سالم سالم‌تر سودمند سودمندتر
سالم سالم‌تر رها رهاتر
سالم سالم‌تر زشت زشت‌تر
سالم سالم‌تر داغ داغ‌تر
سالم سالم‌تر پیچیده پیچیده‌تر
سالم سالم‌تر محکم محکم‌تر
سالم سالم‌تر قوی قوی‌تر
سالم سالم‌تر روشن روشن‌تر
سالم سالم‌تر تاریک تاریک‌تر
سالم سالم‌تر دقیق دقیق‌تر
سالم سالم‌تر ظریف ظریف‌تر
سالم سالم‌تر طولانی طولانی‌تر
سالم سالم‌تر پست پست‌تر
سالم سالم‌تر مریض مریض‌تر
سالم سالم‌تر غم‌انگیز غم‌انگیزتر
سالم سالم‌تر شجاع شجاع‌تر
سالم سالم‌تر دلیر دلیرتر
سالم سالم‌تر آزاد آزادتر
سالم سالم‌تر خسته خسته‌تر
غم‌انگیز غم‌انگیزتر ﻿خوب خوب‌تر
غم‌انگیز غم‌انگیزتر بد بدتر
غم‌انگیز غم‌انگیزتر شاد شادتر
غم‌انگیز غم‌انگیزتر زیبا زیباتر
غم‌انگیز غم‌انگیزتر مهربان مهربان‌تر
غم‌انگیز غم‌انگیزتر تمیز تمیزتر
غم‌انگیز غم‌انگیزتر کثیف کثیف‌تر
غم‌انگیز غم‌انگیزتر بلند بلندتر
غم‌انگیز غم‌انگیزتر کوتاه کوتاه‌تر
غم‌انگیز غم‌انگیزتر چاق چاق‌تر
غم‌انگیز غم‌انگیزتر لاغر لاغرتر
غم‌انگیز غم‌انگیزتر نازک نازکتر
غم‌انگیز غم‌انگیزتر زخیم زخیم‌تر
غم‌انگیز غم‌انگیزتر پهن پهن‌تر
غم‌انگیز غم‌انگیزتر ترسناک ترسناک‌تر
غم‌انگیز غم‌انگیزتر خوشحال خوشحال‌تر
غم‌انگیز غم‌انگیزتر پلید پلیدتر
غم‌انگیز غم‌انگیزتر احمق احمق‌تر
غم‌انگیز غم‌انگیزتر باهوش باهوش‌تر
غم‌انگیز غم‌انگیزتر ساده ساده‌تر
غم‌انگیز غم‌انگیزتر زرنگ زرنگ‌تر
غم‌انگیز غم‌انگیزتر زیرک زیرک‌تر
غم‌انگیز غم‌انگیزتر خشن خشن‌تر
غم‌انگیز غم‌انگیزتر بزرگ بزرگتر
غم‌انگیز غم‌انگیزتر کوچک کوچکتر
غم‌انگیز غم‌انگیزتر راحت راحت‌تر
غم‌انگیز غم‌انگیزتر نرم نرم‌تر
غم‌انگیز غم‌انگیزتر سخت سخت‌تر
غم‌انگیز غم‌انگیزتر گرم گرم‌تر
غم‌انگیز غم‌انگیزتر سرد سردتر
غم‌انگیز غم‌انگیزتر دانا داناتر
غم‌انگیز غم‌انگیزتر توانا تواناتر
غم‌انگیز غم‌انگیزتر پسندیده پسندیده‌تر
غم‌انگیز غم‌انگیزتر سودمند سودمندتر
غم‌انگیز غم‌انگیزتر رها رهاتر
غم‌انگیز غم‌انگیزتر زشت زشت‌تر
غم‌انگیز غم‌انگیزتر داغ داغ‌تر
غم‌انگیز غم‌انگیزتر پیچیده پیچیده‌تر
غم‌انگیز غم‌انگیزتر محکم محکم‌تر
غم‌انگیز غم‌انگیزتر قوی قوی‌تر
غم‌انگیز غم‌انگیزتر روشن روشن‌تر
غم‌انگیز غم‌انگیزتر تاریک تاریک‌تر
غم‌انگیز غم‌انگیزتر دقیق دقیق‌تر
غم‌انگیز غم‌انگیزتر ظریف ظریف‌تر
غم‌انگیز غم‌انگیزتر طولانی طولانی‌تر
غم‌انگیز غم‌انگیزتر پست پست‌تر
غم‌انگیز غم‌انگیزتر مریض مریض‌تر
غم‌انگیز غم‌انگیزتر سالم سالم‌تر
غم‌انگیز غم‌انگیزتر شجاع شجاع‌تر
غم‌انگیز غم‌انگیزتر دلیر دلیرتر
غم‌انگیز غم‌انگیزتر آزاد آزادتر
غم‌انگیز غم‌انگیزتر خسته خسته‌تر
شجاع شجاع‌تر ﻿خوب خوب‌تر
شجاع شجاع‌تر بد بدتر
شجاع شجاع‌تر شاد شادتر
شجاع شجاع‌تر زیبا زیباتر
شجاع شجاع‌تر مهربان مهربان‌تر
شجاع شجاع‌تر تمیز تمیزتر
شجاع شجاع‌تر کثیف کثیف‌تر
شجاع شجاع‌تر بلند بلندتر
شجاع شجاع‌تر کوتاه کوتاه‌تر
شجاع شجاع‌تر چاق چاق‌تر
شجاع شجاع‌تر لاغر لاغرتر
شجاع شجاع‌تر نازک نازکتر
شجاع شجاع‌تر زخیم زخیم‌تر
شجاع شجاع‌تر پهن پهن‌تر
شجاع شجاع‌تر ترسناک ترسناک‌تر
شجاع شجاع‌تر خوشحال خوشحال‌تر
شجاع شجاع‌تر پلید پلیدتر
شجاع شجاع‌تر احمق احمق‌تر
شجاع شجاع‌تر باهوش باهوش‌تر
شجاع شجاع‌تر ساده ساده‌تر
شجاع شجاع‌تر زرنگ زرنگ‌تر
شجاع شجاع‌تر زیرک زیرک‌تر
شجاع شجاع‌تر خشن خشن‌تر
شجاع شجاع‌تر بزرگ بزرگتر
شجاع شجاع‌تر کوچک کوچکتر
شجاع شجاع‌تر راحت راحت‌تر
شجاع شجاع‌تر نرم نرم‌تر
شجاع شجاع‌تر سخت سخت‌تر
شجاع شجاع‌تر گرم گرم‌تر
شجاع شجاع‌تر سرد سردتر
شجاع شجاع‌تر دانا داناتر
شجاع شجاع‌تر توانا تواناتر
شجاع شجاع‌تر پسندیده پسندیده‌تر
شجاع شجاع‌تر سودمند سودمندتر
شجاع شجاع‌تر رها رهاتر
شجاع شجاع‌تر زشت زشت‌تر
شجاع شجاع‌تر داغ داغ‌تر
شجاع شجاع‌تر پیچیده پیچیده‌تر
شجاع شجاع‌تر محکم محکم‌تر
شجاع شجاع‌تر قوی قوی‌تر
شجاع شجاع‌تر روشن روشن‌تر
شجاع شجاع‌تر تاریک تاریک‌تر
شجاع شجاع‌تر دقیق دقیق‌تر
شجاع شجاع‌تر ظریف ظریف‌تر
شجاع شجاع‌تر طولانی طولانی‌تر
شجاع شجاع‌تر پست پست‌تر
شجاع شجاع‌تر مریض مریض‌تر
شجاع شجاع‌تر سالم سالم‌تر
شجاع شجاع‌تر غم‌انگیز غم‌انگیزتر
شجاع شجاع‌تر دلیر دلیرتر
شجاع شجاع‌تر آزاد آزادتر
شجاع شجاع‌تر خسته خسته‌تر
دلیر دلیرتر ﻿خوب خوب‌تر
دلیر دلیرتر بد بدتر
دلیر دلیرتر شاد شادتر
دلیر دلیرتر زیبا زیباتر
دلیر دلیرتر مهربان مهربان‌تر
دلیر دلیرتر تمیز تمیزتر
دلیر دلیرتر کثیف کثیف‌تر
دلیر دلیرتر بلند بلندتر
دلیر دلیرتر کوتاه کوتاه‌تر
دلیر دلیرتر چاق چاق‌تر
دلیر دلیرتر لاغر لاغرتر
دلیر دلیرتر نازک نازکتر
دلیر دلیرتر زخیم زخیم‌تر
دلیر دلیرتر پهن پهن‌تر
دلیر دلیرتر ترسناک ترسناک‌تر
دلیر دلیرتر خوشحال خوشحال‌تر
دلیر دلیرتر پلید پلیدتر
دلیر دلیرتر احمق احمق‌تر
دلیر دلیرتر باهوش باهوش‌تر
دلیر دلیرتر ساده ساده‌تر
دلیر دلیرتر زرنگ زرنگ‌تر
دلیر دلیرتر زیرک زیرک‌تر
دلیر دلیرتر خشن خشن‌تر
دلیر دلیرتر بزرگ بزرگتر
دلیر دلیرتر کوچک کوچکتر
دلیر دلیرتر راحت راحت‌تر
دلیر دلیرتر نرم نرم‌تر
دلیر دلیرتر سخت سخت‌تر
دلیر دلیرتر گرم گرم‌تر
دلیر دلیرتر سرد سردتر
دلیر دلیرتر دانا داناتر
دلیر دلیرتر توانا تواناتر
دلیر دلیرتر پسندیده پسندیده‌تر
دلیر دلیرتر سودمند سودمندتر
دلیر دلیرتر رها رهاتر
دلیر دلیرتر زشت زشت‌تر
دلیر دلیرتر داغ داغ‌تر
دلیر دلیرتر پیچیده پیچیده‌تر
دلیر دلیرتر محکم محکم‌تر
دلیر دلیرتر قوی قوی‌تر
دلیر دلیرتر روشن روشن‌تر
دلیر دلیرتر تاریک تاریک‌تر
دلیر دلیرتر دقیق دقیق‌تر
دلیر دلیرتر ظریف ظریف‌تر
دلیر دلیرتر طولانی طولانی‌تر
دلیر دلیرتر پست پست‌تر
دلیر دلیرتر مریض مریض‌تر
دلیر دلیرتر سالم سالم‌تر
دلیر دلیرتر غم‌انگیز غم‌انگیزتر
دلیر دلیرتر شجاع شجاع‌تر
دلیر دلیرتر آزاد آزادتر
دلیر دلیرتر خسته خسته‌تر
آزاد آزادتر ﻿خوب خوب‌تر
آزاد آزادتر بد بدتر
آزاد آزادتر شاد شادتر
آزاد آزادتر زیبا زیباتر
آزاد آزادتر مهربان مهربان‌تر
آزاد آزادتر تمیز تمیزتر
آزاد آزادتر کثیف کثیف‌تر
آزاد آزادتر بلند بلندتر
آزاد آزادتر کوتاه کوتاه‌تر
آزاد آزادتر چاق چاق‌تر
آزاد آزادتر لاغر لاغرتر
آزاد آزادتر نازک نازکتر
آزاد آزادتر زخیم زخیم‌تر
آزاد آزادتر پهن پهن‌تر
آزاد آزادتر ترسناک ترسناک‌تر
آزاد آزادتر خوشحال خوشحال‌تر
آزاد آزادتر پلید پلیدتر
آزاد آزادتر احمق احمق‌تر
آزاد آزادتر باهوش باهوش‌تر
آزاد آزادتر ساده ساده‌تر
آزاد آزادتر زرنگ زرنگ‌تر
آزاد آزادتر زیرک زیرک‌تر
آزاد آزادتر خشن خشن‌تر
آزاد آزادتر بزرگ بزرگتر
آزاد آزادتر کوچک کوچکتر
آزاد آزادتر راحت راحت‌تر
آزاد آزادتر نرم نرم‌تر
آزاد آزادتر سخت سخت‌تر
آزاد آزادتر گرم گرم‌تر
آزاد آزادتر سرد سردتر
آزاد آزادتر دانا داناتر
آزاد آزادتر توانا تواناتر
آزاد آزادتر پسندیده پسندیده‌تر
آزاد آزادتر سودمند سودمندتر
آزاد آزادتر رها رهاتر
آزاد آزادتر زشت زشت‌تر
آزاد آزادتر داغ داغ‌تر
آزاد آزادتر پیچیده پیچیده‌تر
آزاد آزادتر محکم محکم‌تر
آزاد آزادتر قوی قوی‌تر
آزاد آزادتر روشن روشن‌تر
آزاد آزادتر تاریک تاریک‌تر
آزاد آزادتر دقیق دقیق‌تر
آزاد آزادتر ظریف ظریف‌تر
آزاد آزادتر طولانی طولانی‌تر
آزاد آزادتر پست پست‌تر
آزاد آزادتر مریض مریض‌تر
آزاد آزادتر سالم سالم‌تر
آزاد آزادتر غم‌انگیز غم‌انگیزتر
آزاد آزادتر شجاع شجاع‌تر
آزاد آزادتر دلیر دلیرتر
آزاد آزادتر خسته خسته‌تر
خسته خسته‌تر ﻿خوب خوب‌تر
خسته خسته‌تر بد بدتر
خسته خسته‌تر شاد شادتر
خسته خسته‌تر زیبا زیباتر
خسته خسته‌تر مهربان مهربان‌تر
خسته خسته‌تر تمیز تمیزتر
خسته خسته‌تر کثیف کثیف‌تر
خسته خسته‌تر بلند بلندتر
خسته خسته‌تر کوتاه کوتاه‌تر
خسته خسته‌تر چاق چاق‌تر
خسته خسته‌تر لاغر لاغرتر
خسته خسته‌تر نازک نازکتر
خسته خسته‌تر زخیم زخیم‌تر
خسته خسته‌تر پهن پهن‌تر
خسته خسته‌تر ترسناک ترسناک‌تر
خسته خسته‌تر خوشحال خوشحال‌تر
خسته خسته‌تر پلید پلیدتر
خسته خسته‌تر احمق احمق‌تر
خسته خسته‌تر باهوش باهوش‌تر
خسته خسته‌تر ساده ساده‌تر
خسته خسته‌تر زرنگ زرنگ‌تر
خسته خسته‌تر زیرک زیرک‌تر
خسته خسته‌تر خشن خشن‌تر
خسته خسته‌تر بزرگ بزرگتر
خسته خسته‌تر کوچک کوچکتر
خسته خسته‌تر راحت راحت‌تر
خسته خسته‌تر نرم نرم‌تر
خسته خسته‌تر سخت سخت‌تر
خسته خسته‌تر گرم گرم‌تر
خسته خسته‌تر سرد سردتر
خسته خسته‌تر دانا داناتر
خسته خسته‌تر توانا تواناتر
خسته خسته‌تر پسندیده پسندیده‌تر
خسته خسته‌تر سودمند سودمندتر
خسته خسته‌تر رها رهاتر
خسته خسته‌تر زشت زشت‌تر
خسته خسته‌تر داغ داغ‌تر
خسته خسته‌تر پیچیده پیچیده‌تر
خسته خسته‌تر محکم محکم‌تر
خسته خسته‌تر قوی قوی‌تر
خسته خسته‌تر روشن روشن‌تر
خسته خسته‌تر تاریک تاریک‌تر
خسته خسته‌تر دقیق دقیق‌تر
خسته خسته‌تر ظریف ظریف‌تر
خسته خسته‌تر طولانی طولانی‌تر
خسته خسته‌تر پست پست‌تر
خسته خسته‌تر مریض مریض‌تر
خسته خسته‌تر سالم سالم‌تر
خسته خسته‌تر غم‌انگیز غم‌انگیزتر
خسته خسته‌تر شجاع شجاع‌تر
خسته خسته‌تر دلیر دلیرتر
خسته خسته‌تر آزاد آزادتر
: صفت برترین
﻿خوب خوب‌ترین بد بدترین
﻿خوب خوب‌ترین شاد شادترین
﻿خوب خوب‌ترین زیبا زیباترین
﻿خوب خوب‌ترین مهربان مهربان‌ترین
﻿خوب خوب‌ترین تمیز تمیزترین
﻿خوب خوب‌ترین کثیف کثیف‌ترین
﻿خوب خوب‌ترین بلند بلندترین
﻿خوب خوب‌ترین کوتاه کوتاه‌ترین
﻿خوب خوب‌ترین چاق چاق‌ترین
﻿خوب خوب‌ترین لاغر لاغرترین
﻿خوب خوب‌ترین نازک نازکترین
﻿خوب خوب‌ترین زخیم زخیم‌ترین
﻿خوب خوب‌ترین پهن پهن‌ترین
﻿خوب خوب‌ترین ترسناک ترسناک‌ترین
﻿خوب خوب‌ترین خوشحال خوشحال‌ترین
﻿خوب خوب‌ترین پلید پلیدترین
﻿خوب خوب‌ترین احمق احمق‌ترین
﻿خوب خوب‌ترین باهوش باهوش‌ترین
﻿خوب خوب‌ترین ساده ساده‌ترین
﻿خوب خوب‌ترین زرنگ زرنگ‌ترین
﻿خوب خوب‌ترین زیرک زیرک‌ترین
﻿خوب خوب‌ترین خشن خشن‌ترین
﻿خوب خوب‌ترین بزرگ بزرگترین
﻿خوب خوب‌ترین کوچک کوچکترین
﻿خوب خوب‌ترین راحت راحت‌ترین
﻿خوب خوب‌ترین نرم نرم‌ترین
﻿خوب خوب‌ترین سخت سخت‌ترین
﻿خوب خوب‌ترین گرم گرم‌ترین
﻿خوب خوب‌ترین سرد سردترین
﻿خوب خوب‌ترین دانا داناترین
﻿خوب خوب‌ترین توانا تواناترین
﻿خوب خوب‌ترین پسندیده پسندیده‌ترین
﻿خوب خوب‌ترین سودمند سودمندترین
﻿خوب خوب‌ترین رها رهاترین
﻿خوب خوب‌ترین زشت زشت‌ترین
﻿خوب خوب‌ترین داغ داغ‌ترین
﻿خوب خوب‌ترین پیچیده پیچیده‌ترین
﻿خوب خوب‌ترین محکم محکم‌ترین
﻿خوب خوب‌ترین قوی قوی‌ترین
﻿خوب خوب‌ترین روشن روشن‌ترین
﻿خوب خوب‌ترین تاریک تاریک‌ترین
﻿خوب خوب‌ترین دقیق دقیق‌ترین
﻿خوب خوب‌ترین ظریف ظریف‌ترین
﻿خوب خوب‌ترین طولانی طولانی‌ترین
﻿خوب خوب‌ترین پست پست‌ترین
﻿خوب خوب‌ترین مریض مریض‌ترین
﻿خوب خوب‌ترین سالم سالم‌ترین
﻿خوب خوب‌ترین غم‌انگیز غم‌انگیزترین
﻿خوب خوب‌ترین شجاع شجاع‌ترین
﻿خوب خوب‌ترین دلیر دلیرترین
﻿خوب خوب‌ترین آزاد آزادترین
﻿خوب خوب‌ترین خسته خسته‌ترین
بد بدترین ﻿خوب خوب‌ترین
بد بدترین شاد شادترین
بد بدترین زیبا زیباترین
بد بدترین مهربان مهربان‌ترین
بد بدترین تمیز تمیزترین
بد بدترین کثیف کثیف‌ترین
بد بدترین بلند بلندترین
بد بدترین کوتاه کوتاه‌ترین
بد بدترین چاق چاق‌ترین
بد بدترین لاغر لاغرترین
بد بدترین نازک نازکترین
بد بدترین زخیم زخیم‌ترین
بد بدترین پهن پهن‌ترین
بد بدترین ترسناک ترسناک‌ترین
بد بدترین خوشحال خوشحال‌ترین
بد بدترین پلید پلیدترین
بد بدترین احمق احمق‌ترین
بد بدترین باهوش باهوش‌ترین
بد بدترین ساده ساده‌ترین
بد بدترین زرنگ زرنگ‌ترین
بد بدترین زیرک زیرک‌ترین
بد بدترین خشن خشن‌ترین
بد بدترین بزرگ بزرگترین
بد بدترین کوچک کوچکترین
بد بدترین راحت راحت‌ترین
بد بدترین نرم نرم‌ترین
بد بدترین سخت سخت‌ترین
بد بدترین گرم گرم‌ترین
بد بدترین سرد سردترین
بد بدترین دانا داناترین
بد بدترین توانا تواناترین
بد بدترین پسندیده پسندیده‌ترین
بد بدترین سودمند سودمندترین
بد بدترین رها رهاترین
بد بدترین زشت زشت‌ترین
بد بدترین داغ داغ‌ترین
بد بدترین پیچیده پیچیده‌ترین
بد بدترین محکم محکم‌ترین
بد بدترین قوی قوی‌ترین
بد بدترین روشن روشن‌ترین
بد بدترین تاریک تاریک‌ترین
بد بدترین دقیق دقیق‌ترین
بد بدترین ظریف ظریف‌ترین
بد بدترین طولانی طولانی‌ترین
بد بدترین پست پست‌ترین
بد بدترین مریض مریض‌ترین
بد بدترین سالم سالم‌ترین
بد بدترین غم‌انگیز غم‌انگیزترین
بد بدترین شجاع شجاع‌ترین
بد بدترین دلیر دلیرترین
بد بدترین آزاد آزادترین
بد بدترین خسته خسته‌ترین
شاد شادترین ﻿خوب خوب‌ترین
شاد شادترین بد بدترین
شاد شادترین زیبا زیباترین
شاد شادترین مهربان مهربان‌ترین
شاد شادترین تمیز تمیزترین
شاد شادترین کثیف کثیف‌ترین
شاد شادترین بلند بلندترین
شاد شادترین کوتاه کوتاه‌ترین
شاد شادترین چاق چاق‌ترین
شاد شادترین لاغر لاغرترین
شاد شادترین نازک نازکترین
شاد شادترین زخیم زخیم‌ترین
شاد شادترین پهن پهن‌ترین
شاد شادترین ترسناک ترسناک‌ترین
شاد شادترین خوشحال خوشحال‌ترین
شاد شادترین پلید پلیدترین
شاد شادترین احمق احمق‌ترین
شاد شادترین باهوش باهوش‌ترین
شاد شادترین ساده ساده‌ترین
شاد شادترین زرنگ زرنگ‌ترین
شاد شادترین زیرک زیرک‌ترین
شاد شادترین خشن خشن‌ترین
شاد شادترین بزرگ بزرگترین
شاد شادترین کوچک کوچکترین
شاد شادترین راحت راحت‌ترین
شاد شادترین نرم نرم‌ترین
شاد شادترین سخت سخت‌ترین
شاد شادترین گرم گرم‌ترین
شاد شادترین سرد سردترین
شاد شادترین دانا داناترین
شاد شادترین توانا تواناترین
شاد شادترین پسندیده پسندیده‌ترین
شاد شادترین سودمند سودمندترین
شاد شادترین رها رهاترین
شاد شادترین زشت زشت‌ترین
شاد شادترین داغ داغ‌ترین
شاد شادترین پیچیده پیچیده‌ترین
شاد شادترین محکم محکم‌ترین
شاد شادترین قوی قوی‌ترین
شاد شادترین روشن روشن‌ترین
شاد شادترین تاریک تاریک‌ترین
شاد شادترین دقیق دقیق‌ترین
شاد شادترین ظریف ظریف‌ترین
شاد شادترین طولانی طولانی‌ترین
شاد شادترین پست پست‌ترین
شاد شادترین مریض مریض‌ترین
شاد شادترین سالم سالم‌ترین
شاد شادترین غم‌انگیز غم‌انگیزترین
شاد شادترین شجاع شجاع‌ترین
شاد شادترین دلیر دلیرترین
شاد شادترین آزاد آزادترین
شاد شادترین خسته خسته‌ترین
زیبا زیباترین ﻿خوب خوب‌ترین
زیبا زیباترین بد بدترین
زیبا زیباترین شاد شادترین
زیبا زیباترین مهربان مهربان‌ترین
زیبا زیباترین تمیز تمیزترین
زیبا زیباترین کثیف کثیف‌ترین
زیبا زیباترین بلند بلندترین
زیبا زیباترین کوتاه کوتاه‌ترین
زیبا زیباترین چاق چاق‌ترین
زیبا زیباترین لاغر لاغرترین
زیبا زیباترین نازک نازکترین
زیبا زیباترین زخیم زخیم‌ترین
زیبا زیباترین پهن پهن‌ترین
زیبا زیباترین ترسناک ترسناک‌ترین
زیبا زیباترین خوشحال خوشحال‌ترین
زیبا زیباترین پلید پلیدترین
زیبا زیباترین احمق احمق‌ترین
زیبا زیباترین باهوش باهوش‌ترین
زیبا زیباترین ساده ساده‌ترین
زیبا زیباترین زرنگ زرنگ‌ترین
زیبا زیباترین زیرک زیرک‌ترین
زیبا زیباترین خشن خشن‌ترین
زیبا زیباترین بزرگ بزرگترین
زیبا زیباترین کوچک کوچکترین
زیبا زیباترین راحت راحت‌ترین
زیبا زیباترین نرم نرم‌ترین
زیبا زیباترین سخت سخت‌ترین
زیبا زیباترین گرم گرم‌ترین
زیبا زیباترین سرد سردترین
زیبا زیباترین دانا داناترین
زیبا زیباترین توانا تواناترین
زیبا زیباترین پسندیده پسندیده‌ترین
زیبا زیباترین سودمند سودمندترین
زیبا زیباترین رها رهاترین
زیبا زیباترین زشت زشت‌ترین
زیبا زیباترین داغ داغ‌ترین
زیبا زیباترین پیچیده پیچیده‌ترین
زیبا زیباترین محکم محکم‌ترین
زیبا زیباترین قوی قوی‌ترین
زیبا زیباترین روشن روشن‌ترین
زیبا زیباترین تاریک تاریک‌ترین
زیبا زیباترین دقیق دقیق‌ترین
زیبا زیباترین ظریف ظریف‌ترین
زیبا زیباترین طولانی طولانی‌ترین
زیبا زیباترین پست پست‌ترین
زیبا زیباترین مریض مریض‌ترین
زیبا زیباترین سالم سالم‌ترین
زیبا زیباترین غم‌انگیز غم‌انگیزترین
زیبا زیباترین شجاع شجاع‌ترین
زیبا زیباترین دلیر دلیرترین
زیبا زیباترین آزاد آزادترین
زیبا زیباترین خسته خسته‌ترین
مهربان مهربان‌ترین ﻿خوب خوب‌ترین
مهربان مهربان‌ترین بد بدترین
مهربان مهربان‌ترین شاد شادترین
مهربان مهربان‌ترین زیبا زیباترین
مهربان مهربان‌ترین تمیز تمیزترین
مهربان مهربان‌ترین کثیف کثیف‌ترین
مهربان مهربان‌ترین بلند بلندترین
مهربان مهربان‌ترین کوتاه کوتاه‌ترین
مهربان مهربان‌ترین چاق چاق‌ترین
مهربان مهربان‌ترین لاغر لاغرترین
مهربان مهربان‌ترین نازک نازکترین
مهربان مهربان‌ترین زخیم زخیم‌ترین
مهربان مهربان‌ترین پهن پهن‌ترین
مهربان مهربان‌ترین ترسناک ترسناک‌ترین
مهربان مهربان‌ترین خوشحال خوشحال‌ترین
مهربان مهربان‌ترین پلید پلیدترین
مهربان مهربان‌ترین احمق احمق‌ترین
مهربان مهربان‌ترین باهوش باهوش‌ترین
مهربان مهربان‌ترین ساده ساده‌ترین
مهربان مهربان‌ترین زرنگ زرنگ‌ترین
مهربان مهربان‌ترین زیرک زیرک‌ترین
مهربان مهربان‌ترین خشن خشن‌ترین
مهربان مهربان‌ترین بزرگ بزرگترین
مهربان مهربان‌ترین کوچک کوچکترین
مهربان مهربان‌ترین راحت راحت‌ترین
مهربان مهربان‌ترین نرم نرم‌ترین
مهربان مهربان‌ترین سخت سخت‌ترین
مهربان مهربان‌ترین گرم گرم‌ترین
مهربان مهربان‌ترین سرد سردترین
مهربان مهربان‌ترین دانا داناترین
مهربان مهربان‌ترین توانا تواناترین
مهربان مهربان‌ترین پسندیده پسندیده‌ترین
مهربان مهربان‌ترین سودمند سودمندترین
مهربان مهربان‌ترین رها رهاترین
مهربان مهربان‌ترین زشت زشت‌ترین
مهربان مهربان‌ترین داغ داغ‌ترین
مهربان مهربان‌ترین پیچیده پیچیده‌ترین
مهربان مهربان‌ترین محکم محکم‌ترین
مهربان مهربان‌ترین قوی قوی‌ترین
مهربان مهربان‌ترین روشن روشن‌ترین
مهربان مهربان‌ترین تاریک تاریک‌ترین
مهربان مهربان‌ترین دقیق دقیق‌ترین
مهربان مهربان‌ترین ظریف ظریف‌ترین
مهربان مهربان‌ترین طولانی طولانی‌ترین
مهربان مهربان‌ترین پست پست‌ترین
مهربان مهربان‌ترین مریض مریض‌ترین
مهربان مهربان‌ترین سالم سالم‌ترین
مهربان مهربان‌ترین غم‌انگیز غم‌انگیزترین
مهربان مهربان‌ترین شجاع شجاع‌ترین
مهربان مهربان‌ترین دلیر دلیرترین
مهربان مهربان‌ترین آزاد آزادترین
مهربان مهربان‌ترین خسته خسته‌ترین
تمیز تمیزترین ﻿خوب خوب‌ترین
تمیز تمیزترین بد بدترین
تمیز تمیزترین شاد شادترین
تمیز تمیزترین زیبا زیباترین
تمیز تمیزترین مهربان مهربان‌ترین
تمیز تمیزترین کثیف کثیف‌ترین
تمیز تمیزترین بلند بلندترین
تمیز تمیزترین کوتاه کوتاه‌ترین
تمیز تمیزترین چاق چاق‌ترین
تمیز تمیزترین لاغر لاغرترین
تمیز تمیزترین نازک نازکترین
تمیز تمیزترین زخیم زخیم‌ترین
تمیز تمیزترین پهن پهن‌ترین
تمیز تمیزترین ترسناک ترسناک‌ترین
تمیز تمیزترین خوشحال خوشحال‌ترین
تمیز تمیزترین پلید پلیدترین
تمیز تمیزترین احمق احمق‌ترین
تمیز تمیزترین باهوش باهوش‌ترین
تمیز تمیزترین ساده ساده‌ترین
تمیز تمیزترین زرنگ زرنگ‌ترین
تمیز تمیزترین زیرک زیرک‌ترین
تمیز تمیزترین خشن خشن‌ترین
تمیز تمیزترین بزرگ بزرگترین
تمیز تمیزترین کوچک کوچکترین
تمیز تمیزترین راحت راحت‌ترین
تمیز تمیزترین نرم نرم‌ترین
تمیز تمیزترین سخت سخت‌ترین
تمیز تمیزترین گرم گرم‌ترین
تمیز تمیزترین سرد سردترین
تمیز تمیزترین دانا داناترین
تمیز تمیزترین توانا تواناترین
تمیز تمیزترین پسندیده پسندیده‌ترین
تمیز تمیزترین سودمند سودمندترین
تمیز تمیزترین رها رهاترین
تمیز تمیزترین زشت زشت‌ترین
تمیز تمیزترین داغ داغ‌ترین
تمیز تمیزترین پیچیده پیچیده‌ترین
تمیز تمیزترین محکم محکم‌ترین
تمیز تمیزترین قوی قوی‌ترین
تمیز تمیزترین روشن روشن‌ترین
تمیز تمیزترین تاریک تاریک‌ترین
تمیز تمیزترین دقیق دقیق‌ترین
تمیز تمیزترین ظریف ظریف‌ترین
تمیز تمیزترین طولانی طولانی‌ترین
تمیز تمیزترین پست پست‌ترین
تمیز تمیزترین مریض مریض‌ترین
تمیز تمیزترین سالم سالم‌ترین
تمیز تمیزترین غم‌انگیز غم‌انگیزترین
تمیز تمیزترین شجاع شجاع‌ترین
تمیز تمیزترین دلیر دلیرترین
تمیز تمیزترین آزاد آزادترین
تمیز تمیزترین خسته خسته‌ترین
کثیف کثیف‌ترین ﻿خوب خوب‌ترین
کثیف کثیف‌ترین بد بدترین
کثیف کثیف‌ترین شاد شادترین
کثیف کثیف‌ترین زیبا زیباترین
کثیف کثیف‌ترین مهربان مهربان‌ترین
کثیف کثیف‌ترین تمیز تمیزترین
کثیف کثیف‌ترین بلند بلندترین
کثیف کثیف‌ترین کوتاه کوتاه‌ترین
کثیف کثیف‌ترین چاق چاق‌ترین
کثیف کثیف‌ترین لاغر لاغرترین
کثیف کثیف‌ترین نازک نازکترین
کثیف کثیف‌ترین زخیم زخیم‌ترین
کثیف کثیف‌ترین پهن پهن‌ترین
کثیف کثیف‌ترین ترسناک ترسناک‌ترین
کثیف کثیف‌ترین خوشحال خوشحال‌ترین
کثیف کثیف‌ترین پلید پلیدترین
کثیف کثیف‌ترین احمق احمق‌ترین
کثیف کثیف‌ترین باهوش باهوش‌ترین
کثیف کثیف‌ترین ساده ساده‌ترین
کثیف کثیف‌ترین زرنگ زرنگ‌ترین
